provincia_reserva,concepto,filtrado,categoria
UCAM Mención en Lengua Extranjera (Francés) desde Grado de Primaria NO UCAM,admision,Mención en Lengua Extranjera (Francés) desde Grado de Primaria NO UCAM,mencion
Mención UCJC en Lengua Extranjera (Francés) desde Grado UCJC en Primaria,admision,Mención en Lengua Extranjera (Francés) desde Grado en Primaria,mencion
Mención UCJC en Lengua Extranjera (Francés) desde Grado NO UCJC en Primaria,admision,Mención en Lengua Extranjera (Francés) desde Grado NO en Primaria,mencion
Mención UCJC en Lengua Extranjera (Francés) desde Grado NO UCJC en Primaria. Clases en Francés,admision,Mención en Lengua Extranjera (Francés) desde Grado NO en Primaria. Clases en Francés,mencion
Mención UCJC en Lengua Extranjera (Inglés) Clase en Inglés. (desde Grado UCJC en Primaria),admision,Mención en Lengua Extranjera (Inglés) Clase en Inglés. (desde Grado en Primaria),mencion
Mención UCJC en Lengua Extranjera (Inglés) Clase en Inglés. (desde Grado NO UCJC en Infantil),admision,Mención en Lengua Extranjera (Inglés) Clase en Inglés. (desde Grado NO en Infantil),mencion
Mención UCJC en Lengua Extranjera (Inglés) Clase en Inglés. (desde Grado NO UCJC en Primaria),admision,Mención en Lengua Extranjera (Inglés) Clase en Inglés. (desde Grado NO en Primaria),mencion
UCAM Mención en Lengua Extranjera (Inglés) desde Grado de Primaria NO UCAM,admision,Mención en Lengua Extranjera (Inglés) desde Grado de Primaria NO UCAM,mencion
UCAM Mención en Lengua Extranjera (Inglés) desde Grado de Primaria UCAM,admision,Mención en Lengua Extranjera (Inglés) desde Grado de Primaria UCAM,mencion
Nebrija Mención en Lengua Extranjera (Inglés) desde Grado Nebrija en Primaria,admision,Mención en Lengua Extranjera (Inglés) desde Grado en Primaria,mencion
UNIDAM Mención en Lengua Extranjera (Inglés) desde Grado UNIDAM en Primaria,admision,Mención en Lengua Extranjera (Inglés) desde Grado en Primaria,mencion
Nebrija Mención en Lengua Extranjera (Inglés) desde Grado Nebrija,admision,Mención en Lengua Extranjera (Inglés) desde Grado Nebrija,mencion
Nebrija Mención en Lengua Extranjera (Inglés) desde Grado no Nebrija en Primaria,admision,Mención en Lengua Extranjera (Inglés) desde Grado no en Primaria,mencion
UNIDAM Mención en Lengua Extranjera (Inglés) desde Grado NO UNIDAM en Primaria,admision,Mención en Lengua Extranjera (Inglés) desde Grado NO en Primaria,mencion
UNIDAM Mención en Lengua Extranjera (Inglés) desde Grado NO UNIDAM en Primaria (no finalizado),admision,Mención en Lengua Extranjera (Inglés) desde Grado NO en Primaria (no finalizado),mencion
Nebrija Mención en Lengua Extranjera (Inglés) desde Grado NO Nebrija,admision,Mención en Lengua Extranjera (Inglés) desde Grado NO Nebrija,mencion
Mención UCJC en Música (desde Grado UCJC en Primaria),admision,Mención en Música (desde Grado en Primaria),mencion
Mención UCJC en Música (desde Grado UCJC en Primaria) SE REQUIERE PRUEBA DE ACCESO,admision,Mención en Música (desde Grado en Primaria) SE REQUIERE PRUEBA DE ACCESO,mencion
Mención UCJC en Música (desde Grado NO UCJC en Primaria) SE REQUIERE PRUEBA DE ACCESO,admision,Mención en Música (desde Grado NO en Primaria) SE REQUIERE PRUEBA DE ACCESO,mencion
UCAM Mención en Música desde Grado de Primaria NO UCAM,admision,Mención en Música desde Grado de Primaria NO UCAM,mencion
